ID_Transaccion;Categoria;Turno_Entrega;Tiempo_Despacho_Min;Monto_ARS
10403;Electronica;Noche;5.813.261.970.767.260;23.070.378.001.598.800
10221;Hogar;Mañana;3.934.628.661.879.150;22.755.386.576.441.500
11147;Indumentaria;Mañana;6.049.677.773.099.760;1.869.108.241.789.890
10366;Indumentaria;Mañana;5.082.363.971.678.010;12.245.372.053.748.300
10883;Ferreteria;Mañana;2.834.021.705.625.470;3.017.927.102.859.840
11345;Hogar;Noche;4.507.219.961.065.170;2.238.389.051.205.200
11163;Indumentaria;Tarde;4.741.577.217.894.880;469.891.594.758.711
10969;Hogar;Mañana;40.151.430.532.168.600;20.850.555.342.914.200
11211;Ferreteria;Tarde;30.890.326.535.386.200;2.345.987.020.925.950
10173;Ferreteria;Tarde;6.084.982.925.659.180;37.284.499.023.323.300
11275;Ferreteria;Tarde;6.243.301.183.561.120;2.829.116.701.726.680
11264;Indumentaria;Noche;3.298.528.810.023.430;2.414.659.454.444.540
10439;Hogar;Tarde;4.327.240.608.345.080;3.377.365.144.272.100
10424;Ferreteria;Noche;237.757.108.392.534;9.101.278.585.118.040
10359;Hogar;Tarde;25.184.902.562.022.400;35.489.246.944.900.700
10101;Indumentaria;Mañana;5.304.625.098.592.560;14.582.086.327.869.400
10687;Electronica;Noche;3.856.422.109.728.220;10.688.084.697.623.900
10654;Indumentaria;Mañana;22.840.079.386.407.900;15.035.835.283.989.300
10632;Electronica;Mañana;6.809.410.272.002.270;18.828.242.838.228.000
10398;Ferreteria;Tarde;3.730.033.157.514.940;2.048.498.228.785.180
10171;Electronica;Noche;5.547.374.870.666.720;1.842.023.269.720.560
10301;Electronica;Tarde;3.308.159.208.887.160;2.304.877.422.939.620
10732;Electronica;Mañana;8.200.805.566.218.730;2.642.168.356.024.150
10821;Ferreteria;Mañana;4.772.758.555.807.590;24.672.485.371.049.200
10516;Ferreteria;Mañana;3.893.674.482.039.580;334.961.294.143.643
10564;Ferreteria;Noche;26.375.756.703.059.500;2.899.271.836.042.650
10289;Ferreteria;Mañana;5.935.285.318.913.360;3.232.866.579.357.320
10597;Hogar;Tarde;16.132.677.584.267.200;3.393.020.531.004.090
11196;Indumentaria;Mañana;5.636.494.309.409.960;1.767.282.084.960.220
10154;Electronica;Mañana;4.470.036.856.920.140;27.262.309.571.869.400
10150;Hogar;Mañana;3.693.465.453.858.200;21.092.866.153.463.700
10510;Electronica;Mañana;4.091.358.448.133.560;18.155.462.108.613.700
11337;Indumentaria;Mañana;4.444.680.657.984.310;2.848.067.518.373.010
10527;Indumentaria;Noche;62.371.662.720.364.500;16.911.665.883.121.500
10506;Ferreteria;Tarde;7.786.237.739.809.120;17.066.716.458.930.600
11328;Indumentaria;Noche;5.403.699.143.551.350;2.434.438.571.949.520
10044;Ferreteria;Noche;6.139.602.879.919.810;20.078.166.474.336.600
10803;Electronica;Noche;3.151.780.217.947.640;18.670.815.115.597.500
11497;Ferreteria;Mañana;3.185.422.899.832.040;23.984.657.567.760.300
11055;Electronica;Tarde;5.260.621.888.139.320;15.552.772.387.433.500
11174;Electronica;Noche;3.495.920.920.843.290;151.132.980.691.822
10920;Electronica;Mañana;6.724.072.191.258.620;3.503.450.826.350.910
10034;Indumentaria;Noche;44.724.764.686.438.400;27.228.953.536.527.300
11090;Ferreteria;Noche;4.298.930.125.114.200;32.185.117.766.533.000
10669;Hogar;Mañana;2.975.626.238.312.620;25.313.236.734.505
10184;Electronica;Noche;7.030.481.794.538.080;19.905.388.402.213.200
11212;Indumentaria;Mañana;5.024.718.513.823.290;28.187.550.906.853.400
10651;Ferreteria;Mañana;379.375.653.522.926;33.462.948.221.397.900
10915;Indumentaria;Tarde;4.169.814.479.565.040;25.082.752.126.686.000
11356;Ferreteria;Tarde;60.818.902.743.405.800;17.796.566.196.284.000
11122;Hogar;Mañana;5.605.936.974.820.570;2.622.838.910.656.590
10541;Indumentaria;Mañana;4.423.721.218.138.380;3.196.199.195.129.040
11226;Hogar;Mañana;4.444.779.740.732.570;29.487.141.781.454.400
11148;Hogar;Tarde;6.671.380.386.768.640;3.036.169.324.506.640
10974;Ferreteria;Noche;7.323.438.350.751.280;26.046.992.959.589.000
11003;Electronica;Tarde;5.922.182.158.650.960;23.723.073.398.014.300
10118;Ferreteria;Noche;4.867.527.893.190.700;23.553.725.088.836.000
10872;Indumentaria;Tarde;32.940.414.017.895.300;30.633.416.979.849.000
11313;Electronica;Tarde;419.386.005.447.662;24.846.435.596.793.300
10543;Indumentaria;Tarde;2.320.252.280.618.580;2.555.089.611.692.050
11467;Indumentaria;Tarde;65.170.141.801.532;3.230.473.624.423.820
10812;Electronica;Tarde;34.515.743.408.045.900;32.706.372.838.875.900
10480;Ferreteria;Mañana;4.048.117.147.009.790;1.038.457.162.817.730
10017;Ferreteria;Mañana;2.537.927.217.662.370;30.228.015.616.446.800
11228;Indumentaria;Mañana;3.154.430.354.032.110;1.809.572.074.333.600
10551;Ferreteria;Mañana;50.958.669.138.621.700;2.284.797.779.293.510
10748;Electronica;Noche;5.425.545.255.481.040;250.851.379.458.612
10966;Electronica;Mañana;5.691.210.090.114.260;23.963.748.738.220.500
10645;Electronica;Noche;3.366.744.998.100.360;400.662.061.392.885
10487;Ferreteria;Tarde;7.351.403.419.491.860;2.475.691.608.392.010
10065;Indumentaria;Tarde;55.304.197.389.708.300;32.052.797.967.825.600
10400;Ferreteria;Mañana;3.723.131.024.919.310;3.005.953.973.094.270
10360;Ferreteria;Mañana;4.142.582.308.950.620;3.109.137.413.917.590
10406;Indumentaria;Mañana;3.976.522.955.064.620;8.904.335.780.001.480
10525;Hogar;Tarde;6.295.036.226.481.950;1.693.070.148.493.230
11035;Indumentaria;Mañana;5.153.512.366.358.860;4.381.281.642.699.560
11315;Ferreteria;Tarde;616.679.903.497.992;1.994.351.393.690.350
10819;Electronica;Mañana;25.288.990.371.989.400;2.207.921.421.807.460
10023;Ferreteria;Tarde;5.299.521.118.726.700;3.150.331.395.917.970
11256;Indumentaria;Tarde;4.655.908.251.223.340;25.954.373.640.176.100
11219;Hogar;Tarde;4.087.651.863.171.570;1.517.342.083.935.280
10593;Ferreteria;Tarde;4.543.313.584.723.510;4.305.017.812.110.280
11172;Hogar;Noche;3.040.575.331.025.000;2.362.269.508.577.560
10766;Electronica;Mañana;5.933.561.934.181.620;1.939.477.876.524.350
10357;Ferreteria;Mañana;23.579.537.503.488.500;2.824.032.434.749.740
11052;Hogar;Mañana;4.299.166.610.151.420;29.918.931.473.149.200
10193;Hogar;Noche;330.075.250.025.477;10.963.663.169.069.800
10367;Indumentaria;Noche;34.553.703.106.160.900;3.854.853.175.622.630
10129;Ferreteria;Mañana;4.624.620.771.423.070;32.912.593.685.563.800
11020;Hogar;Noche;46.696.442.067.303.500;10.632.507.589.306.500
11017;Hogar;Tarde;4.247.859.801.052.130;2.834.478.884.349.780
10205;Electronica;Mañana;15.952.218.982.378.200;1.703.171.897.837.860
10391;Hogar;Tarde;3.473.222.681.674.540;21.021.888.266.910.500
11481;Electronica;Tarde;7.552.549.052.048.860;12.001.749.124.821.900
11314;Indumentaria;Noche;5.168.308.269.793.500;2.553.214.619.168.540
11464;Hogar;Tarde;5.150.821.276.350.340;2.097.308.725.399.590
10402;Hogar;Mañana;43.862.645.677.226.000;2.661.831.245.109.030
10181;Hogar;Noche;4.573.012.257.490.230;3.576.642.613.890.290
10878;Electronica;Tarde;15.998.383.398.210.200;32.277.212.316.470.600
10021;Electronica;Noche;5.330.749.997.672.310;2.751.559.133.881.560
10342;Hogar;Tarde;4.163.617.261.863.640;13.758.006.473.813.500
10344;Hogar;Mañana;3.996.030.735.640.580;3.441.765.438.441.790
10553;Ferreteria;Noche;468.499.361.158.581;11.120.578.942.919.500
10854;Hogar;Tarde;6.550.485.649.018.260;1.671.502.122.019.730
11064;Indumentaria;Tarde;5.636.858.094.166.510;11.203.961.711.401.700
10477;Ferreteria;Mañana;4.957.979.669.320.590;8.145.196.869.137.520
11197;Hogar;Mañana;4.488.726.953.593.830;15.892.119.280.498.500
10806;Ferreteria;Mañana;6.171.774.426.327.680;16.364.303.081.861.300
10026;Indumentaria;Tarde;5.241.893.622.481.640;21.573.238.082.353.100
11173;Hogar;Mañana;4.814.170.398.444.620;18.112.791.132.051.900
10834;Electronica;Tarde;45.465.344.054.997.100;2.163.909.150.739.180
11474;Ferreteria;Noche;4.848.892.362.341.720;3.146.365.239.327.550
11071;Indumentaria;Tarde;62.571.395.216.458.000;3.320.734.388.575.420
10413;Electronica;Noche;5.083.080.184.576.660;9.764.382.077.944.670
10696;Hogar;Noche;56.071.205.623.644.700;1.744.643.484.498.720
10313;Hogar;Noche;5.338.036.449.049.910;278.402.527.853.667
11241;Ferreteria;Tarde;3.642.938.667.825.130;2.956.998.127.670.790
11277;Hogar;Noche;6.091.220.529.383.080;2.803.372.525.466.770
11376;Ferreteria;Mañana;6.912.583.967.035.780;2.705.944.060.846.410
11084;Indumentaria;Mañana;5.190.494.809.769.720;30.449.485.200.992.900
10513;Indumentaria;Tarde;9.124.175.134.308.090;2.767.294.919.703.990
10822;Indumentaria;Tarde;5.930.507.517.248.670;2.324.415.557.428.530
10174;Ferreteria;Tarde;5.183.534.503.000.870;2.930.983.180.842.000
11004;Electronica;Noche;340.718.246.651.999;4.642.381.820.935.900
11005;Electronica;Mañana;25.829.122.813.232.900;25.517.555.512.770.900
11450;Ferreteria;Mañana;28.813.867.498.980.300;1.856.161.001.140.090
11454;Electronica;Noche;6.847.527.255.667.890;2.148.672.583.298.490
11378;Indumentaria;Noche;3.967.427.033.441.770;3.142.243.246.570.570
11489;Electronica;Mañana;7.900.770.292.647.330;31.793.618.474.097.700
10077;Ferreteria;Mañana;13.057.303.888.349.300;904.043.771.349.372
10369;Hogar;Mañana;5.242.819.429.686.160;28.825.618.095.214.000
11244;Hogar;Tarde;681.913.525.235.206;16.098.955.510.094.800
10254;Electronica;Mañana;4.608.566.379.421.550;2.131.986.271.178.960
10743;Electronica;Tarde;5.719.610.447.444.240;2.200.028.737.641.760
10611;Indumentaria;Tarde;6.585.641.211.609.570;25.455.635.522.039.100
10528;Indumentaria;Noche;3.092.733.936.858.440;2.976.630.241.279.480
11393;Indumentaria;Noche;48.735.175.145.467.800;26.338.899.628.093.600
11010;Electronica;Noche;37.453.791.913.430.100;28.266.435.707.342.600
11063;Electronica;Noche;5.583.882.752.430.150;28.540.993.513.866.700
10142;Ferreteria;Mañana;38.127.945.191.793.900;12.960.992.057.366.900
11217;Indumentaria;Mañana;4.350.929.504.810.360;20.541.160.130.756.800
10035;Electronica;Noche;6.467.675.850.311.360;13.581.331.283.876.200
11282;Electronica;Tarde;5.084.400.592.191.850;3.495.623.928.541.310
10754;Indumentaria;Tarde;3.201.200.344.306.410;28.221.777.734.982.500
11448;Indumentaria;Tarde;48.271.132.629.790.800;26.044.124.904.032.700
10423;Hogar;Mañana;21.107.958.009.712.700;21.842.985.502.412.800
10219;Hogar;Mañana;7.034.840.184.939.430;1.209.870.593.567.810
10602;Ferreteria;Mañana;4.167.259.828.115.560;17.302.486.560.154.500
10604;Hogar;Tarde;53.045.870.584.266.800;23.728.514.117.369.700
10283;Hogar;Tarde;3.439.041.989.507.500;3.185.864.612.448.490
10039;Hogar;Mañana;4.114.568.264.469.750;3.006.374.120.480.640
10813;Ferreteria;Mañana;6.378.319.364.639.720;3.660.384.627.916.700
10787;Ferreteria;Mañana;21.094.244.769.734.500;33.050.438.637.212.100
10488;Electronica;Mañana;32.460.688.806.289.500;18.513.190.926.874.500
10074;Electronica;Mañana;3.256.443.812.470.180;16.863.706.644.868.400
10490;Ferreteria;Noche;5.697.381.107.138.160;17.231.214.547.325.400
10102;Indumentaria;Noche;38.637.014.669.578.300;27.786.314.640.798.000
10303;Indumentaria;Mañana;5.916.434.463.273.420;21.896.806.330.527.500
11355;Ferreteria;Mañana;28.920.376.255.887.300;33.786.633.605.552.300
10678;Indumentaria;Noche;319.459.867.472.854;228.303.584.539.142
10014;Ferreteria;Mañana;4.316.479.646.038.340;411.888.045.403.398
11015;Indumentaria;Noche;5.492.134.176.125.020;3.203.105.867.260.510
11188;Hogar;Noche;3.364.034.229.483.050;2.280.657.989.308.460
10464;Ferreteria;Noche;6.114.557.992.861.770;25.308.734.901.858.200
11029;Electronica;Noche;3.447.994.212.595.920;24.667.132.338.151.500
10482;Electronica;Mañana;6.497.218.211.096.690;23.870.219.714.765.900
10660;Ferreteria;Noche;4.294.825.087.545.850;23.532.102.056.011.900
11093;Hogar;Mañana;3.460.902.803.266.970;260.533.554.770.831
11479;Ferreteria;Mañana;5.743.064.152.829.870;24.939.336.896.631.600
10368;Hogar;Tarde;5.765.121.464.094;34.561.765.372.173.700
11321;Hogar;Tarde;465.569.577.164.414;3.812.583.152.804.420
10963;Hogar;Mañana;52.397.580.048.025.800;4.503.693.344.217.250
10428;Electronica;Mañana;2.568.078.915.723.000;38.265.658.980.894.400
10662;Electronica;Mañana;4.828.847.501.632.460;2.537.417.144.672.670
10499;Ferreteria;Tarde;6.125.409.119.745.270;25.518.078.093.636.500
11294;Ferreteria;Noche;778.208.513.893.294;18.827.639.304.388.100
10885;Electronica;Mañana;3.697.926.588.284.030;25.880.264.720.380.000
11249;Ferreteria;Mañana;39.070.417.838.403.800;1.361.143.486.255.090
10830;Electronica;Noche;4.928.877.990.713.970;5.582.373.938.573.880
10265;Indumentaria;Tarde;3.467.244.738.109.230;3.336.107.638.707.410
11357;Hogar;Tarde;47.983.539.932.254.900;29.736.815.688.345.100
10376;Ferreteria;Tarde;2.292.462.835.993.960;34.335.103.005.518.800
10436;Ferreteria;Tarde;23.239.321.233.847.800;2.240.864.146.762.450
10261;Indumentaria;Noche;491.202.161.098.928;17.290.279.457.145.400
11033;Indumentaria;Mañana;766.630.895.553.642;4.420.595.975.567.450
10673;Indumentaria;Tarde;5.141.183.887.492.670;2.954.205.661.668.850
11317;Ferreteria;Tarde;5.205.772.142.641.200;29.105.859.414.521.400
11498;Hogar;Noche;2.427.007.016.110.210;2.256.681.971.449.750
10610;Electronica;Noche;4.340.023.062.845.400;2.923.213.039.913.680
11149;Electronica;Tarde;46.592.624.546.197.500;25.574.107.445.720.400
10253;Electronica;Tarde;4.835.266.659.493.740;3.526.118.913.037.270
10657;Hogar;Mañana;37.821.338.330.678;2.958.256.804.421.010
10953;Ferreteria;Tarde;5.913.357.227.246.040;2.834.420.942.729.490
10827;Indumentaria;Noche;4.777.413.424.311.610;13.823.448.637.516.200
10594;Ferreteria;Noche;4.421.970.467.312.970;3.070.575.856.316.780
10483;Indumentaria;Mañana;5.642.705.667.130.170;3.572.226.056.267.190
11446;Ferreteria;Mañana;3.690.018.546.411.460;14.522.905.007.131.700
11092;Ferreteria;Mañana;5.875.117.378.588.830;3.551.436.008.414.200
10562;Hogar;Tarde;545.236.170.617.058;2.488.050.578.143.380
10694;Indumentaria;Noche;4.777.219.906.146.270;1.675.448.478.863.620
11237;Ferreteria;Mañana;50.339.656.859.396.100;35.627.124.363.294.500
11036;Ferreteria;Mañana;27.211.334.861.507.300;15.869.676.761.951.500
11455;Electronica;Tarde;7.480.696.456.005.150;24.588.643.564.745.200
10200;Hogar;Noche;4.419.383.236.546.310;3.215.239.677.859.830
10755;Indumentaria;Mañana;3.421.134.993.055.550;1.771.060.818.919.330
10940;Ferreteria;Tarde;5.213.049.051.520.810;3.647.632.166.973.600
10214;Hogar;Tarde;61.066.868.606.769.700;2.703.406.623.792.790
10208;Indumentaria;Noche;4.760.874.125.750.640;2.324.460.859.261.190
10255;Hogar;Noche;4.467.291.992.877.240;17.379.535.017.451.400
11031;Ferreteria;Tarde;4.678.864.993.943.830;20.062.918.599.180.800
10334;Indumentaria;Mañana;5.693.554.712.549.610;2.403.136.030.872.760
10418;Ferreteria;Noche;5.860.286.542.688.600;2.150.912.425.025.400
10910;Hogar;Noche;6.550.254.690.908.160;2.507.381.147.315.460
10790;Indumentaria;Tarde;6.705.481.158.054.720;29.037.698.925.204.400
10434;Ferreteria;Tarde;4.035.176.889.534.370;12.378.383.266.937.100
11306;Ferreteria;Mañana;5.608.958.761.248.440;3.486.571.763.151.000
11204;Electronica;Tarde;5.305.973.486.316.300;2.193.779.854.257.340
10702;Electronica;Noche;4.247.240.053.597.690;3.781.558.005.209.910
10896;Indumentaria;Noche;31.449.847.705.545.000;2.135.115.411.887.540
11262;Hogar;Mañana;61.894.448.389.862.200;2.620.178.683.949.490
10587;Hogar;Mañana;6.943.514.405.023.900;29.194.608.287.983.200
10547;Ferreteria;Mañana;47.342.817.344.113.100;26.811.672.248.907.500
10511;Indumentaria;Mañana;4.387.633.733.017.470;1.677.650.591.141.320
11333;Ferreteria;Mañana;5.457.676.402.746.840;14.884.600.643.059.400
11086;Electronica;Tarde;1.921.873.660.706.750;2.828.343.802.555.600
10800;Electronica;Mañana;5.157.573.870.192.600;28.602.133.077.115.800
11247;Indumentaria;Noche;2.404.263.002.672.880;17.016.357.703.814.600
10421;Indumentaria;Mañana;480.907.427.681.927;23.529.224.954.224.900
11426;Hogar;Noche;3.882.915.254.958.760;1.790.123.497.996.460
10504;Hogar;Mañana;3.657.171.504.678.850;2.586.817.020.857.880
10362;Electronica;Mañana;4.353.415.420.393.620;2.211.672.011.544.110
10982;Ferreteria;Tarde;4.780.746.030.729.240;2.671.846.018.301.610
10049;Indumentaria;Noche;4.472.625.052.199.220;3.862.261.604.807.420
11218;Electronica;Mañana;3.981.910.267.994.920;3.863.563.640.315.320
11430;Electronica;Tarde;2.377.536.192.185.920;2.678.738.913.797.430
10700;Indumentaria;Tarde;3.878.312.847.344.510;16.032.334.198.349.100
10258;Ferreteria;Mañana;5.763.674.887.359.210;16.371.703.419.904.000
10905;Indumentaria;Mañana;54.992.490.982.074.900;28.357.281.958.496.500
11389;Electronica;Noche;49.496.618.455.823.400;23.042.523.929.326.900
10399;Electronica;Tarde;4.541.582.532.714.850;24.431.258.994.501.800
11145;Indumentaria;Mañana;28.619.313.008.235.600;9.982.207.145.557.630
10268;Hogar;Tarde;505.084.844.913.332;32.665.639.338.353.800
11116;Hogar;Noche;20.030.853.974.493.500;3.102.769.161.326.660
10563;Hogar;Mañana;3.736.924.168.353.230;2.232.121.213.116.170
10749;Indumentaria;Mañana;50.510.830.359.459.400;23.206.158.347.162.000
11434;Ferreteria;Noche;4.385.854.847.082.060;19.404.121.766.713.500
10028;Ferreteria;Noche;5.197.568.191.522.770;2.604.952.072.275.100
10307;Indumentaria;Tarde;4.954.684.442.387.760;30.959.187.595.149.500
10149;Ferreteria;Noche;6.112.971.209.039.030;2.854.558.927.932.580
11121;Hogar;Mañana;3.147.327.619.948.760;173.805.181.536.768
10763;Indumentaria;Noche;2.579.597.385.955.590;189.287.612.838.368
10318;Hogar;Mañana;4.915.063.565.857.470;18.317.714.355.273.900
11416;Electronica;Tarde;4.012.751.439.496.020;17.059.555.089.888.900
10134;Hogar;Mañana;5.451.361.714.588.830;3.042.111.750.786.670
11415;Ferreteria;Noche;2.991.280.994.456.830;1.848.422.308.443.930
11115;Hogar;Mañana;5.140.645.975.187.500;25.175.050.564.570.500
11180;Indumentaria;Mañana;517.303.465.250.836;2.710.562.338.397.400
10230;Indumentaria;Noche;49.605.967.748.553.600;2.861.288.546.181.000
10928;Indumentaria;Noche;24.349.054.462.445.500;2.002.297.730.194.620
10938;Indumentaria;Mañana;4.012.839.790.081.230;37.561.051.324.637.600
10726;Hogar;Noche;54.722.059.048.613;13.735.173.009.496.800
10094;Indumentaria;Mañana;4.941.787.113.680.780;383.613.006.987.914
11332;Hogar;Mañana;18.627.104.890.860.400;18.593.939.578.190.200
11142;Ferreteria;Tarde;2.384.788.492.529.510;3.658.680.685.543.420
10167;Hogar;Noche;56.737.402.420.509.300;189.291.829.516.989
10609;Ferreteria;Tarde;7.042.994.299.304.530;39.643.150.849.025.300
11208;Electronica;Noche;5.906.086.723.919.670;12.031.044.183.550.500
10846;Indumentaria;Tarde;413.863.313.235.957;10.487.789.215.134.700
10135;Electronica;Mañana;52.129.283.839.798.300;31.324.010.885.293.700
11006;Ferreteria;Tarde;4.131.225.031.533.000;2.001.877.441.230.900
10429;Ferreteria;Tarde;5.528.521.748.701.400;3.129.034.050.715.680
11210;Electronica;Mañana;5.589.005.148.851.500;3.435.515.258.957.000
10858;Indumentaria;Noche;3.588.710.486.480.280;3.192.741.294.644.080
10633;Electronica;Noche;3.455.771.461.555.310;3.617.569.264.366.270
10004;Hogar;Noche;4.150.992.137.220.000;284.369.995.250.694
11013;Hogar;Mañana;5.010.089.050.291.200;18.011.451.728.875.500
10719;Ferreteria;Mañana;2.510.857.411.429.710;28.929.623.508.008.000
11380;Indumentaria;Tarde;2.518.764.339.181.560;3.204.406.131.102.830
10397;Indumentaria;Mañana;4.373.610.829.748.240;219.969.843.552.553
11371;Hogar;Mañana;6.088.115.744.872.210;3.775.265.705.561.470
10990;Indumentaria;Mañana;5.139.179.289.606.990;2.638.643.759.428.630
10856;Hogar;Noche;4.590.482.871.799.450;24.328.145.049.550.600
10007;Electronica;Noche;6.551.485.997.205.220;3.715.109.265.162.130
10300;Electronica;Mañana;6.534.117.220.210.060;1.708.308.832.797.740
10948;Indumentaria;Mañana;4.427.089.657.690.770;26.982.490.236.116.200
10282;Indumentaria;Mañana;6.405.946.590.987.330;134.652.445.920.023
10453;Indumentaria;Mañana;2.814.725.692.633.750;28.722.769.388.213.100
10809;Electronica;Tarde;5.659.520.043.380.710;203.415.394.437.379
11042;Hogar;Noche;7.568.725.932.132.420;18.247.067.062.670.900
10962;Indumentaria;Tarde;16.793.354.173.127.400;3.104.095.395.178.040
11354;Indumentaria;Tarde;4.850.620.764.634.360;20.201.006.651.193.400
10517;Indumentaria;Noche;46.941.168.874.133.900;26.340.140.900.240.300
10612;Ferreteria;Noche;2.965.158.350.785.050;247.967.803.940.406
11477;Ferreteria;Noche;4.118.434.836.291.670;20.608.645.121.557.500
10124;Electronica;Noche;681.678.900.551.714;2.639.567.435.869.360
10347;Ferreteria;Noche;4.211.514.130.391.450;3.547.315.509.534.070
11472;Electronica;Noche;3.182.594.889.489.950;3.775.712.512.973.050
10189;Indumentaria;Noche;5.293.123.268.699.490;4.064.184.024.726.220
11482;Indumentaria;Noche;6.369.401.014.684.470;2.653.194.281.338.530
10997;Ferreteria;Mañana;4.140.151.624.379.750;23.235.895.322.738.600
11291;Electronica;Tarde;440.890.288.442.176;20.986.168.760.568.900
11280;Indumentaria;Noche;6.554.081.508.894.440;181.633.905.570.534
11187;Electronica;Tarde;7.079.769.316.653.870;2.242.469.487.095.920
11102;Ferreteria;Tarde;3.869.407.316.457.550;18.325.495.407.675.400
10588;Ferreteria;Mañana;4.742.036.886.963.760;25.457.090.841.290.100
